country,duration,tempo,chroma_mean,centroid_mean,rolloff_mean,zcr_mean,rhythm_strength,harmonic_percussive_ratio,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5
az.mp3,131.99673469387756,[139.67483108],0.37794244,1470.286084056714,2717.5318993238784,0.04077431872526385,0.85582834,2.8230872,-209.40361,190.97067,-26.793028,16.722494,3.7530687
ge.mp3,85.73387755102041,[132.51201923],0.34499007,1414.274258061968,2619.991622852488,0.03733232481381178,0.79931885,3.6932857,-300.96228,201.18134,-26.175417,19.053299,0.02431396
gw.mp3,60.65632653061225,[93.96306818],0.3902586,2000.533878018853,3906.9225571919856,0.0542110870215311,0.94496465,2.886806,-205.81613,183.0062,-45.714207,32.746296,-11.918468
gd.mp3,79.59510204081633,[79.50721154],0.34801063,1314.5320575293074,2342.037354940016,0.04451592355236289,0.7226637,7.07329,-308.7548,193.72174,-25.473286,5.396462,2.8665688
iq.mp3,105.32571428571428,[109.95678191],0.36035496,1643.8966969654084,3273.331674335942,0.035951395538272896,0.8808099,3.1607106,-239.7406,182.57968,-21.103045,22.094503,-3.182923
mc.mp3,87.6669387755102,[99.38401442],0.3430936,2059.443671107079,4066.7529865846795,0.05119608216366525,0.89897704,2.574281,-270.30115,147.51039,-39.35346,27.539497,-8.138406
gy.mp3,53.263673469387754,[79.50721154],0.3072779,1647.9357366688732,2900.186415308958,0.048820143070237576,0.8829889,5.0436916,-217.53604,201.61569,-44.427746,12.494717,-6.456292
kr.mp3,57.391020408163264,[139.67483108],0.34413892,1434.780906578081,2623.849546562121,0.040743534618982606,0.8260092,3.7340736,-246.82535,203.41174,-28.201403,17.21296,-1.6093695
gr.mp3,45.32244897959184,[99.38401442],0.3670222,1477.6747743913058,2663.2225912125386,0.04215215464107326,0.91763383,3.1376834,-239.51015,190.92479,-28.389812,18.277779,-1.1685601
kz.mp3,103.10530612244898,[105.46875],0.34088367,1430.9083486237469,2668.6090631509683,0.03794969598018241,0.9460556,2.669041,-252.59709,193.45029,-30.10186,17.256672,4.0350175
bf.mp3,107.2065306122449,[89.10290948],0.35978836,1297.5876554366341,2423.876207617082,0.03443416477734163,0.8208626,3.8436027,-221.73616,201.98468,-26.43277,7.1764703,6.205159
je.mp3,34.115918367346936,[90.66611842],0.35794166,1321.2831603732373,2406.8171804557246,0.04303420859561075,0.60897225,6.018664,-326.81903,163.37993,-40.353783,19.980532,-4.7310877
il.mp3,74.24,[105.46875],0.36741728,1474.9096387328213,2585.3346196369234,0.04052169358385457,0.8305594,3.4877396,-207.75328,204.37415,-35.816624,17.259912,-6.743866
kp.mp3,100.6120634920635,[114.84375],0.28084746,2432.127338701016,4179.597956418744,0.07163013261509173,0.9086452,4.280994,-203.1556,165.01549,-60.380703,21.117104,-19.344963
dz.mp3,78.13224489795918,[114.84375],0.3524066,1784.063628885718,3492.2823992384842,0.044592992547362556,0.89888906,2.8540719,-321.16754,164.16174,-29.626797,20.795605,-5.588195
ke.mp3,41.012244897959185,[123.046875],0.3246396,1810.8105635674722,3426.266007000955,0.05050801704465044,0.8443979,4.697062,-203.03683,191.5807,-55.129555,26.781086,-15.262397
bj.mp3,67.81387755102041,[109.95678191],0.35161984,2152.7328386674317,4228.6242303845,0.0602608602041253,0.93049,3.0851116,-181.58043,180.12425,-57.589066,33.080013,-17.048996
ga.mp3,104.82938775510205,[105.46875],0.3344893,1601.1876075852017,3077.1805732194766,0.039493139188815064,0.8742,3.1675441,-328.14413,177.25023,-25.065344,23.77175,-5.6465707
bz.mp3,162.35102040816327,[99.38401442],0.32823455,1862.1955573139032,3605.8198627672696,0.04813082976526745,0.87931937,3.5061548,-256.53232,185.91574,-34.96264,23.244375,-10.830223
gg.mp3,141.63591836734693,[60.09265988],0.3300038,2342.385919231117,4828.194219870646,0.055221407530737704,0.8554487,4.416531,-190.5084,133.88896,-27.042088,28.460869,-5.635703
ki.mp3,44.878367346938774,[101.33272059],0.40230814,2082.6187834251277,4398.699802767718,0.040243418180936366,0.90986484,3.0954494,-207.92519,171.28757,-27.173054,30.529734,-2.9770384
kn.mp3,62.82448979591837,[101.33272059],0.39808348,1424.0006482959218,2686.0124473825526,0.03717902635347376,0.93626827,2.6070004,-198.77333,206.37773,-35.40834,22.828413,0.18809414
bb.mp3,78.65469387755103,[107.66601562],0.32893202,2379.918578406749,4743.613677640683,0.0674225957103321,0.901118,3.7646344,-217.44107,175.59387,-54.81773,30.96424,-17.929838
do.mp3,96.78367346938775,[99.38401442],0.34550533,1225.6511125008676,2192.9308682304786,0.03710673944089601,0.87280065,3.7006311,-257.35965,193.97484,-14.254232,3.330004,8.138654
bd.mp3,134.87020408163266,[66.25600962],0.33350042,2706.837590537765,5649.751231694392,0.06563278425475597,0.9294844,3.6353414,-163.35115,154.62979,-55.88751,54.331043,-25.282064
es.mp3,62.354285714285716,[71.77734375],0.35935244,2005.26810058018,4055.895675633611,0.05599470463484454,0.8254755,2.8905113,-291.53955,165.36743,-46.740604,44.605686,-10.934703
dm.mp3,48.97959183673469,[92.28515625],0.38490754,1843.3439373151184,3609.3200726993955,0.04841113582158094,0.8438869,3.1448596,-278.41425,189.38931,-37.137142,20.009415,-12.83716
cd.mp3,89.05142857142857,[105.46875],0.3548056,1801.2761580071879,3458.205473791308,0.04300000356456134,0.93439937,2.5067093,-242.83965,173.85735,-29.251,21.528502,-0.20327035
bm.mp3,95.50367346938775,[97.50884434],0.32557184,1598.9323233876448,2906.3961282685823,0.05412675109395892,0.7313961,6.741245,-281.9586,181.96727,-28.957811,6.222774,-8.634567
br.mp3,112.82285714285715,[123.046875],0.34451452,1231.110172711764,2201.1839388329004,0.03689688874704157,0.9137417,2.5267777,-289.561,188.4414,-8.82951,7.3442645,8.820053
it.mp3,98.74285714285715,[114.84375],0.3609087,1249.682980645809,2282.838504162503,0.035698204300640725,0.8852018,2.692343,-285.82672,190.12062,-5.1632895,5.428623,4.1064363
fk.mp3,52.87498866213152,[120.18531977],0.38198847,2516.922188870165,4770.12686736759,0.07028516482574095,1.038712,3.3939679,-142.45525,157.61563,-63.607,33.28466,-23.860516
af.mp3,74.00489795918368,[117.45383523],0.36324733,1851.0698724691956,3321.048184742647,0.058020067401960786,0.95833975,3.0851717,-257.7591,195.60954,-37.550056,20.214788,1.7004867
md.mp3,71.13142857142857,[178.20581897],0.3803533,2409.3308181839197,5190.299739498327,0.055967534835563895,0.9055394,2.9813302,-208.30428,167.04477,-33.00601,41.012817,-23.42112
gu.mp3,47.56897959183674,[89.10290948],0.34388256,1872.9734684593059,3504.3843080847364,0.05133137067624451,0.74813646,4.5565863,-236.04755,159.60301,-36.221333,22.36856,-16.726837
gn.mp3,72.3330612244898,[59.40193966],0.36013952,1672.4787270787372,3221.5413607366395,0.041474755130597014,0.7848069,4.161714,-304.78607,186.4267,-24.464207,20.443565,-12.519634
ai.mp3,78.28897959183674,[120.18531977],0.31058,1840.9111994749005,3582.363163958241,0.0451405300081554,0.80945015,5.1435847,-227.24385,152.65108,-24.524294,23.23783,-6.537666
dj.mp3,47.751836734693875,[95.703125],0.38810927,1634.3119166445179,3132.358745005621,0.04386923367616675,0.9081402,2.4855444,-234.53941,194.39091,-38.886417,24.975605,-5.6062484
cz.mp3,64.70530612244897,[112.34714674],0.32120046,1188.665020705831,2125.8648990429897,0.03914545700461966,0.706863,5.118671,-282.67236,213.42494,-9.801517,-5.7272706,10.624751
fo.mp3,64.83591836734693,[99.38401442],0.371744,1562.0995896478162,2898.8086724345344,0.04958218512197851,0.7666879,4.7741203,-280.2288,171.93231,-45.510838,20.29064,-7.782221
gb.mp3,63.08571428571429,[107.66601562],0.3843782,1898.4668944142868,3528.0611837792144,0.05124419166359956,0.8076844,4.376338,-262.88217,175.35405,-29.122381,24.298637,-5.446784
et.mp3,84.08816326530612,[95.703125],0.35252538,1862.8802350651415,3653.6521118450573,0.046007041820550876,0.9111101,3.0346541,-175.71509,178.35118,-37.733967,27.963106,-7.343327
aw.mp3,126.61551020408163,[123.046875],0.33559754,1666.9072487195244,2959.083848985077,0.049382265567692096,0.8997499,4.3940883,-234.59578,200.71736,-44.052704,16.366524,-4.061622
bh.mp3,49.371428571428574,[105.46875],0.36559412,2043.6791761940901,4067.1375352692216,0.0490617606322008,0.90549195,2.8540711,-211.32486,165.84203,-39.05876,32.506416,-14.086408
