country,width,height,aspect_ratio,num_colors,colors,basic_colors,rect,circle,path,polygon,line,polyline,ellipse,text,aspect_ratio_category,total_elements
eu,810.0,540.0,1.5,2,"#003399,#ffcc00","blue,yellow",0,0,2,0,0,0,0,0,~3:2,2
fi,1800.0,1100.0,1.6363636363636365,2,"#003580,#ffffff","blue,white",3,0,0,0,0,0,0,0,Between 3:2 and 2:1,3
fj,1200.0,600.0,2.0,9,"#c8102e,#00ad50,#69b3e7,#ffffff,#012169,#fedd00,#862633,#000000,#FFFFFF","red,green,cyan,white,blue,yellow,red,black,white",0,4,94,0,0,0,4,0,~2:1,102
fk,1200.0,600.0,2.0,67,"#fec618,#012169,#a1a1a1,#d0a386,#c98c26,#d4d4d4,#e9b001,#c99472,#c8102e,#f2d196,#fed65b,#294814,#e96a01,#e2a950,#e6ba74,#c27e50,#fedf82,#e6c74d,#acacac,#552200,#ab1e2b,#c47645,#f9e7d9,#c9c9c9,red,#7d5035,#efc9b2,#d05f01,#007300,#512007,#dec7b7,#d7b5a0,#ab612e,#d6b39d,#dd8b59,#951b1d,#2c1c12,#ffffff,#2b1100,#faecbd,#ae4c33,#6f3f1e,#e98e01,#550000,#662900,#3d6c1e,#fec413,#dba35a,#959595,#333333,#e2b269,#ca6b5b,#181818,#794d2f,#e6ab87,#e6e600,#eed3a6,#280b0b,#8a8a8a,#e5e5e5,#aa0000,#fecf3e,#98b432,#2a7fff,#b3b3b3,#e9be79,#000000","yellow,blue,gray,red,yellow,white,yellow,red,red,yellow,yellow,green,red,yellow,yellow,red,yellow,yellow,gray,red,red,red,red,gray,red,red,red,red,green,red,red,red,red,red,red,red,black,white,black,yellow,red,red,yellow,red,red,green,yellow,yellow,gray,gray,yellow,red,black,red,red,yellow,yellow,black,gray,white,red,yellow,yellow,blue,gray,yellow,black",4,0,233,0,0,0,1,0,~2:1,238
fm,38.0,20.0,1.9,2,"#ffffff,#75b2dd","white,cyan",1,0,1,0,0,0,0,0,Between 3:2 and 2:1,2
fo,22.0,16.0,1.375,3,"#ED2939,#FFFFFF,#0065BD","red,white,cyan",5,0,0,0,0,0,0,0,Between 1:1 and 3:2,5
fr,3.0,2.0,1.5,3,"#EC1920,#ffffff,#051440","red,white,blue",0,0,3,0,0,0,0,0,~3:2,3
ga,400.0,300.0,1.3333333333333333,3,"#009e60,#3a75c4,#fcd116","cyan,blue,yellow",3,0,0,0,0,0,0,0,Between 1:1 and 3:2,3
gb,60.0,30.0,2.0,3,"#012169,#ffffff,#C8102E","blue,white,red",0,0,7,0,0,0,0,0,~2:1,7
gd,500.0,300.0,1.6666666666666667,3,"#ce1126,#fcd116,#007a5e","red,yellow,cyan",0,1,5,0,0,0,0,0,Between 3:2 and 2:1,6
ge,300.0,200.0,1.5,2,"red,#ffffff","red,white",0,0,4,0,0,0,0,0,~3:2,4
gg,36.0,24.0,1.5,3,"#f9dd16,#e8112d,white","yellow,red,white",1,0,2,0,0,0,0,0,~3:2,3
gh,450.0,300.0,1.5,4,"#ce1126,#000000,#006b3f,#fcd116","red,black,cyan,yellow",3,0,1,0,0,0,0,0,~3:2,4
gi,512.0,256.0,2.0,4,"#f8d80e,#000000,#ffffff,#da000c","yellow,black,white,red",7,0,34,0,0,0,0,0,~2:1,41
gl,18.0,12.0,1.5,2,"#ffffff,#d00c33","white,red",1,0,1,0,0,0,0,0,~3:2,2
gm,27.0,18.0,1.5,4,"#CE1126,#FFFFFF,#0C1C8C,#3A7728","red,white,blue,green",0,0,4,0,0,0,0,0,~3:2,4
gn,3.0,2.0,1.5,3,"#ce1126,#009460,#fcd116","red,cyan,yellow",3,0,0,0,0,0,0,0,~3:2,3
gq,3600.0,2400.0,1.5,9,"#ffffff,#73452b,#e32118,#009a3b,#a36629,#3e9a00,#ffd700,#000000,#0073ce","white,red,red,green,yellow,green,yellow,black,cyan",3,0,55,0,0,0,0,0,~3:2,58
gr,27.0,18.0,1.5,2,"#0D5EAF,#FFFFFF","blue,white",0,0,2,0,0,0,0,0,~3:2,2
gt,960.0,600.0,1.6,22,"#511124,#34541f,#eac102,#8c959d,#999270,#fab81c,#351710,#4c0505,#406325,#ba1f3e,#ffffff,#a08307,#f9f0aa,#448127,#4997d0,#485654,#67923d,#24420e,#6c301e,#b2b6ba,#b07e09,#000000","red,green,yellow,cyan,yellow,yellow,red,red,green,red,white,yellow,yellow,green,cyan,cyan,green,green,red,gray,yellow,black",0,20,95,0,4,0,2,0,~3:2,121
gu,216958.34,116416.66,1.863636527624139,11,"#ffde52,#008ce7,#109421,#ffffff,#8c4200,#fdf9ff,#9c8431,#bd0728,#c62139,#00297b,#92dbfc","yellow,cyan,green,white,red,white,yellow,red,red,blue,cyan",0,0,14,0,0,0,3,0,Between 3:2 and 2:1,17
gw,12.0,6.0,2.0,4,"#ce1126,#009e49,#000000,#fcd116","red,green,black,yellow",3,0,1,0,0,0,0,0,~2:1,4
gy,500.0,300.0,1.6666666666666667,5,"#ffffff,#fcd116,#009e49,#ce1126,#000000","white,yellow,green,red,black",1,0,4,0,0,0,0,0,Between 3:2 and 2:1,5
id,3.0,2.0,1.5,2,"red,#ffffff","red,white",0,0,2,0,0,0,0,0,~3:2,2
ie,6.0,3.0,2.0,3,"#ffffff,#FF8200,#009A44","white,yellow,green",0,0,3,0,0,0,0,0,~2:1,3
il,1100.0,800.0,1.375,2,"#0038b8,#ffffff","blue,white",0,0,3,0,0,0,0,0,Between 1:1 and 3:2,3
im,600.0,300.0,2.0,4,"#f9dd16,#cf142b,#000000,#ffffff","yellow,red,black,white",0,0,9,0,0,0,0,0,~2:1,9
in,900.0,600.0,1.5,4,"#128807,#000088,#ffffff,#ff9933","green,blue,white,yellow",0,4,4,0,0,0,0,0,~3:2,8
iq,900.0,600.0,1.5,3,"#007a3d,#ce1126,#ffffff","cyan,red,white",0,1,5,0,0,0,0,0,~3:2,6
ir,630.0,360.0,1.75,3,"#239f40,#da0000,#ffffff","green,red,white",3,0,6,0,0,0,0,0,Between 3:2 and 2:1,9
is,25.0,18.0,1.3888888888888888,3,"#D50032,#FFFFFF,#003087","red,white,blue",0,0,3,0,0,0,0,0,Between 1:1 and 3:2,3
it,3.0,2.0,1.5,3,"#008C45,#CD212A,#ffffff","green,red,white",0,0,3,0,0,0,0,0,~3:2,3
je,30.0,18.0,1.6666666666666667,7,"#f9dd16,#ffffff,#df112d,#e8112d,#0051ba,#ff0016,#000000","yellow,white,red,red,blue,red,black",0,0,13,0,0,0,0,0,Between 3:2 and 2:1,13
jm,12.0,6.0,2.0,3,"#2d2926,#007749,#ffb81c","black,cyan,yellow",0,0,3,0,0,0,0,0,~2:1,3
jo,840.0,420.0,2.0,4,"#007a3d,#ce1126,#000000,#ffffff","cyan,red,black,white",3,0,2,0,0,0,0,0,~2:1,5
jp,900.0,600.0,1.5,2,"#bc002d,#ffffff","red,white",1,1,0,0,0,0,0,0,~3:2,2
ke,240.0,160.0,1.5,4,"#006600,#000000,#ffffff,#bb0000","green,black,white,red",3,0,4,0,0,0,1,0,~3:2,8
kg,1000.0,600.0,1.6666666666666667,2,"#fedd00,#ee2737","yellow,red",0,0,2,0,0,0,0,0,Between 3:2 and 2:1,2
kh,625.0,400.0,1.5625,4,"#e00025,#032ea1,#000000,#ffffff","red,blue,black,white",20,0,71,0,0,0,0,0,~3:2,91
ki,600.0,300.0,2.0,5,"#ffffff,#f8d000,#183070,#000000,#c81010","white,yellow,blue,black,red",0,1,10,0,0,0,0,0,~2:1,11
km,500.0,300.0,1.6666666666666667,5,"#CE1126,#3A75C4,#3D8E33,#FFC61E,#FFFFFF","red,blue,green,yellow,white",4,2,2,0,0,0,0,0,Between 3:2 and 2:1,8
kn,750.0,500.0,1.5,5,"#ffffff,#fcd116,#009e49,#ce1126,#000000","white,yellow,green,red,black",0,0,6,0,0,0,0,0,~3:2,6
kp,72.0,36.0,2.0,3,"#ffffff,#ED1C27,#024FA2","white,red,blue",3,1,0,1,0,0,0,0,~2:1,5
kr,72.0,48.0,1.5,4,"#cd2e3a,#0047a0,#000000,#ffffff","red,blue,black,white",0,1,5,0,0,0,0,0,~3:2,6
kw,12.0,6.0,2.0,3,"#007a3d,#ce1126,#ffffff","cyan,red,white",3,0,0,1,0,0,0,0,~2:1,4
ky,1200.0,600.0,2.0,11,"#c8102e,#00493d,#f9d050,#ffffff,#073163,#012169,#059334,#0b50a0,#fcea83,#024919,#000000","red,cyan,yellow,white,blue,blue,green,blue,yellow,green,black",0,0,62,0,0,0,0,0,~2:1,62
kz,2000.0,1000.0,2.0,2,"#fec50c,#00afca","yellow,cyan",1,3,6,0,0,0,0,0,~2:1,10
ma,9.0,6.0,1.5,2,"#006341,#B7312C","cyan,red",0,0,2,0,0,0,0,0,~3:2,2
mc,5.0,4.0,1.25,2,"#FFFFFF,#CE1126","white,red",0,0,2,0,0,0,0,0,Between 1:1 and 3:2,2
md,1800.0,900.0,2.0,5,"#FFD100,#003DA5,#C8102E,#AD7C59,#007749","yellow,blue,red,red,cyan",0,11,36,0,0,0,1,0,~2:1,48
